block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019763,417305,26180,14148,6276841472
24019764,478777,24357,13001,6287622144
24019765,642229,16832,13605,6302810112
24019766,495849,30782,12589,6314016768
24019767,787758,30044,13703,6333202432
24019768,483569,28893,13437,6343262208
24019769,359344,16594,12802,6350798848
24019770,463608,28045,14176,6361432064
24019771,548673,32615,12543,6373621760
24019772,329780,15933,14628,6381305856
24019773,217385,6408,13669,6385614848
24019774,696029,24086,13806,6399770624
24019775,480539,22924,13499,6411059200
24019776,616210,31202,15347,6426099712
24019777,1355461,43415,14769,6467387392
24019778,610752,33453,14825,6481739776
24019779,1514348,44201,14491,6524862464
24019780,391788,28818,15239,6534053888
24019781,1403151,56500,102708,6575636480
24019782,766881,31947,14075,6594625536
24019783,1514913,27413,13895,6638600192
24019784,335212,20566,12997,6647087104
24019785,1328796,17226,12704,6684082176
24019786,241663,10195,11638,6691356672
24019787,528833,34695,10807,6703939584
24019788,1749640,53476,15187,6752370688
24019789,573252,34834,14854,6767017984
24019790,1358674,54380,15476,6804307968
24019791,295174,21515,13317,6811254784
24019792,361242,22487,13890,6818791424
24019793,1230922,40369,13719,6854541312
24019794,529493,32396,12768,6865436672
24019795,1168599,38753,13355,6900088832
24019796,1085489,31737,13898,6932676608
24019797,629898,30900,13367,6947291136
24019798,1298559,45364,12977,6984548352
24019799,311629,17243,12431,6991446016
24019800,662794,25672,13010,7008157696
24019801,464330,23321,12609,7018233856
24019802,467068,33758,13313,7027785728
24019803,274840,11425,13495,7035191296
24019804,1165082,53509,13319,7060717568
24019805,446664,28143,14181,7071154176
24019806,105731,5414,12215,7072202752
24019807,184309,17938,11809,7075266560
24019808,908203,60903,15648,7094386688
24019809,265673,20488,11885,7099727872
24019810,507486,38000,14632,7110279168
24019811,653372,32873,14760,7124992000
24019812,821398,44881,15090,7142621184
24019813,364158,23719,14164,7150452736
24019814,521669,27322,13246,7162068992
24019815,475874,34686,13032,7171850240
24019816,375745,19247,14103,7179386880
24019817,577856,43093,15675,7193214976
24019818,127527,4046,12006,7196852224
24019819,746853,42171,14733,7211286528
24019820,144582,4626,12813,7214874624
24019821,211153,16941,12918,7218462720
24019822,852744,45153,15201,7236435968
24019823,478679,39350,15505,7246708736
24019824,250255,23133,14079,7251525632
24019825,581975,37165,15137,7263076352
24019826,560116,42273,15114,7273775104
24019827,367287,28681,15180,7282720768
24019828,839320,56533,15622,7300890624
