block_number,execution_time_us,rss_bytes
24020296,43512,10870800384
24020297,396385,10879942656
24020298,276543,10885283840
24020299,285390,10889740288
24020300,191165,10892197888
24020301,497375,10904190976
24020302,524109,10916773888
24020303,421400,10926981120
24020304,53771,10927898624
24020305,342408,10935304192
24020306,369989,10942939136
24020307,238785,10947477504
24020308,119817,10949509120
24020309,541592,10960289792
24020310,418678,10969792512
24020311,377344,10977624064
24020312,375870,10991042560
24020313,65780,10992877568
24020314,407075,11000037376
24020315,352386,11007410176
24020316,324114,11013832704
24020317,296950,11022516224
24020318,551860,11035049984
24020319,320304,11042258944
24020320,293927,11048763392
24020321,289958,11054088192
24020322,326544,11060264960
24020323,357520,11068473344
24020324,384411,11077517312
24020325,376863,11085348864
24020326,339538,11093590016
24020327,504327,11105599488
24020328,230106,11110891520
24020329,387828,11119919104
24020330,263655,11125014528
24020331,390255,11134484480
24020332,368321,11142578176
24020333,76517,11144183808
24020334,526026,11156029440
24020335,448819,11164827648
24020336,227769,11169316864
24020337,202539,11172773888
24020338,256910,11178131456
24020339,466321,11188404224
24020340,279108,11193794560
24020341,214052,11198808064
24020342,396138,11207491584
24020343,333872,11214733312
24020344,135653,11217616896
24020345,383283,11226054656
24020346,269743,11232067584
24020347,244684,11237113856
24020348,307444,11243356160
24020349,293724,11248467968
24020350,95232,11251204096
24020351,465177,11260887040
24020352,629457,11275845632
24020353,339303,11282317312
24020354,403939,11292327936
24020355,137597,11294654464
24020356,374415,11302322176
24020357,469822,11312545792
24020358,267214,11317919744
24020359,249632,11322720256
24020360,303664,11329568768
24020361,306145,11336007680
24020362,319721,11342823424
24020363,137119,11345969152
24020364,340447,11353784320
24020365,417899,11362893824
24020366,546557,11375296512
24020367,307080,11382226944
24020368,100222,11385044992
24020369,411049,11392548864
24020370,86397,11393646592
24020371,110186,11396399104
24020372,111792,11399004160
24020373,642089,11412996096
24020374,478154,11422744576
24020375,330720,11430281216
24020376,458135,11440521216
24020377,76232,11442864128
24020378,566023,11456790528
24020379,256503,11462017024
24020380,295661,11468029952
24020381,135591,11470635008
24020382,172948,11474747392
24020383,463716,11484905472
24020384,382106,11493228544
24020385,294604,11500208128
24020386,470413,11510366208
24020387,374774,11518115840
24020388,201140,11521982464
24020389,320322,11529207808
24020390,82394,11530764288
24020391,447403,11540807680
24020392,250775,11546607616
24020393,284769,11553456128
24020394,554196,11567955968
24020395,359285,11576033280
24020396,367066,11583848448
24020397,273489,11589287936
24020398,64991,11590615040
24020399,422187,11598987264
24020400,512689,11609899008
24020401,161071,11613224960
24020402,354383,11621416960
24020403,217558,11626135552
24020404,317705,11632410624
24020405,335820,11639734272
24020406,286749,11645616128
24020407,121046,11648188416
24020408,343216,11653775360
24020409,334407,11661312000
24020410,282654,11666604032
24020411,272972,11671142400
24020412,150655,11674583040
24020413,166357,11677384704
24020414,482752,11686920192
24020415,181744,11691114496
24020416,422834,11699339264
24020417,258719,11705303040
24020418,315206,11711299584
24020419,13542,11711414272
24020420,393322,11718934528
24020421,385975,11726422016
24020422,198374,11730370560
24020423,389258,11738955776
24020424,248528,11744395264
24020425,342287,11752275968
24020426,194058,11755765760
24020427,294530,11761156096
24020428,350001,11768250368
24020429,305159,11775213568
24020430,327926,11779375104
24020431,270838,11786452992
24020432,270990,11791122432
24020433,227324,11795808256
24020434,263580,11801378816
24020435,118348,11804147712
24020436,161027,11807342592
24020437,318614,11811094528
24020438,375916,11821514752
24020439,252930,11827036160
24020440,198704,11831705600
24020441,163898,11835162624
24020442,94408,11837046784
24020443,233929,11842043904
24020444,357000,11847794688
24020445,293442,11853479936
24020446,427269,11862474752
24020447,290352,11867897856
24020448,279692,11873763328
24020449,321757,11880202240
24020450,301470,11887247360
24020451,220235,11891720192
24020452,304631,11897602048
24020453,239132,11902042112
24020454,291257,11907645440
24020455,326278,11913920512
24020456,263977,11918868480
24020457,322629,11923062784
24020458,273033,11930353664
24020459,150671,11933548544
24020460,380213,11940937728
24020461,106922,11943280640
24020462,315294,11947720704
24020463,286667,11955159040
24020464,232150,11960123392
24020465,239440,11966627840
24020466,307681,11972853760
24020467,270510,11979325440
24020468,207786,11983126528
24020469,367357,11991252992
24020470,323230,11998527488
24020471,338799,12005015552
24020472,236083,12012224512
24020473,230048,12018040832
24020474,248502,12021743616
24020475,162992,12026773504
24020476,206281,12032802816
24020477,184365,12036980736
24020478,286722,12043354112
24020479,278383,12048449536
24020480,215975,12053217280
24020481,256651,12058951680
24020482,215684,12063424512
24020483,230957,12067520512
24020484,372585,12073680896
24020485,260920,12080168960
24020486,129561,12082511872
24020487,343736,12088344576
24020488,268539,12094980096
24020489,229776,12100222976
24020490,197392,12104794112
24020491,256903,12109594624
24020492,264266,12115410944
24020493,205229,12119293952
24020494,345424,12126404608
24020495,222897,12131549184
24020496,140941,12134367232
24020497,169426,12138184704
24020498,508454,12149030912
24020499,282845,12152356864
24020500,225573,12158533632
24020501,295149,12166103040
24020502,232358,12170182656
24020503,77762,12172115968
24020504,310574,12179472384
24020505,144613,12182142976
24020506,190914,12186173440
24020507,40201,12187009024
24020508,397227,12194840576
24020509,309767,12199559168
24020510,648755,12215009280
24020511,236028,12220678144
24020512,295613,12226723840
24020513,193133,12230443008
24020514,220905,12234440704
24020515,254517,12240388096
24020516,291191,12246679552
24020517,208300,12250497024
24020518,180093,12253396992
24020519,506164,12267536384
24020520,140623,12270157824
24020521,378244,12277694464
24020522,214146,12282216448
24020523,338605,12289769472
24020524,298206,12295454720
24020525,234549,12300681216
24020526,267292,12303482880
24020527,238943,12310331392
24020528,223961,12315131904
24020529,307453,12319555584
24020530,189792,12324241408
24020531,413097,12335136768
24020532,184796,12338659328
24020533,235897,12344115200
24020534,292846,12347752448
24020535,209793,12353388544
24020536,56796,12355059712
24020537,370939,12363792384
24020538,326500,12368805888
24020539,210830,12373671936
24020540,199406,12378046464
24020541,289575,12384059392
24020542,319664,12386598912
24020543,4178,12386697216
24020544,369338,12396855296
24020545,262286,12402311168
24020546,200790,12406702080
24020547,323119,12409831424
24020548,438552,12421054464
24020549,403005,12428427264
24020550,37022,12429115392
24020551,364465,12437307392
24020552,320992,12443566080
24020553,345154,12451610624
24020554,214253,12455985152
24020555,404856,12465111040
24020556,396802,12472008704
24020557,287249,12479299584
24020558,299386,12485148672
24020559,197780,12489211904
24020560,318685,12496109568
24020561,284873,12500025344
24020562,217907,12506136576
24020563,222408,12511166464
24020564,333956,12516032512
24020565,212242,12521521152
24020566,272316,12527779840
24020567,573502,12539674624
24020568,126011,12541706240
24020569,238627,12546211840
24020570,222455,12550946816
24020571,101379,12552929280
24020572,415736,12562317312
24020573,58151,12563415040
24020574,548305,12572344320
24020575,241063,12574818304
24020576,199065,12580143104
24020577,265244,12587663360
24020578,273257,12593020928
24020579,192561,12597657600
24020580,188213,12599705600
24020581,125444,12603490304
24020582,167268,12607602688
24020583,563676,12619333632
24020584,340265,12625477632
24020585,257221,12630130688
24020586,326292,12637143040
24020587,302266,12642631680
24020588,202912,12646694912
24020589,167033,12649889792
24020590,257438,12654510080
24020591,429386,12663996416
24020592,193345,12667846656
24020593,321479,12675514368
24020594,254189,12679348224
24020595,12762,12679823360
24020596,594077,12693471232
24020597,325197,12700532736
24020598,427309,12708249600
24020599,208989,12712673280
24020600,302787,12719177728
24020601,334531,12726304768
24020602,183965,12729843712
24020603,64637,12731154432
24020604,242137,12735430656
24020605,198891,12739641344
