block_number,raw_size_bytes,compressed_size_bytes,compression_time_us,decompression_time_us
24061922,67640,33908,143.67,19.33
24061923,106236,51542,221.5,30.13
24061924,163208,62125,313.04,52.38
24061925,82812,38733,161.5,23.5
24061926,228360,124200,514.58,98.92
24061927,99272,46767,220.29,30.88
24061928,81556,42520,322.17,31.25
24061929,202420,111005,442.12,57.17
24061930,79224,37601,158.38,22.33
24061931,69148,33953,138.54,19.33
24061932,72920,36154,145.13,19.92
24061933,98148,49053,254.0,32.5
24061934,16260,7924,41.71,6.46
24061935,227260,95394,480.71,73.92
24061936,31392,15466,73.79,10.88
24061937,203044,95147,451.13,82.75
24061938,185324,104690,410.5,52.63
24061939,94976,47417,214.58,28.54
24061940,113268,57065,329.67,51.29
24061941,66040,33857,176.67,22.08
24061942,141136,63198,289.75,44.21
24061943,101420,42239,203.83,32.92
24061944,132748,63274,304.21,39.17
24061945,95072,42576,189.12,28.67
24061946,105216,45678,208.25,31.79
24061947,149732,69219,317.83,43.29
24061948,137376,59964,279.88,42.17
24061949,109268,53943,242.83,31.0
24061950,121996,59572,272.29,33.63
24061951,63912,29500,129.58,18.87
24061952,9808,5229,26.04,3.96
24061953,214436,85566,406.54,68.71
24061954,209472,121071,423.58,54.71
24061955,70092,35744,150.21,20.12
24061956,66204,33194,138.79,18.87
24061957,14504,6965,34.0,5.71
24061958,132392,58867,266.63,39.12
24061959,115700,54569,251.79,46.12
24061960,6520,3842,17.46,3.5
24061961,159416,54992,277.12,60.42
24061962,151284,52727,250.21,54.21
24061963,131140,69785,293.42,33.71
24061964,72716,35191,156.33,22.38
24061965,93080,52348,176.67,22.92
24061966,76264,38780,152.33,20.21
24061967,57624,26493,124.29,17.21
24061968,157336,73441,319.96,46.96
24061969,18244,9209,41.71,5.87
24061970,176276,89569,370.0,52.04
24061971,171052,94164,336.67,42.75
24061972,88624,43934,176.62,23.08
24061973,99856,49712,204.79,26.79
24061974,61040,31005,131.75,16.83
24061975,160396,69725,278.67,52.13
24061976,96884,48711,197.67,26.42
24061977,100236,40969,178.71,31.83
24061978,18764,7505,37.79,6.46
24061979,196472,75886,349.25,69.75
24061980,98940,43201,182.5,29.08
24061981,106080,52354,215.08,27.79
24061982,178668,103642,417.42,101.67
24061983,77360,41678,147.38,20.83
24061984,15708,9075,38.46,5.38
24061985,131820,55310,266.54,41.04
24061986,127028,62373,275.79,57.46
24061987,79208,41519,152.83,22.29
24061988,79296,36015,156.79,23.17
24061989,62088,29365,131.67,18.63
24061990,175480,57771,316.21,69.17
24061991,224692,95009,479.88,67.63
24061992,138532,60009,249.58,155.25
24061993,17176,10361,39.0,5.71
24061994,145596,69400,310.83,41.42
24061995,190612,110985,392.13,61.0
24061996,78716,41406,170.04,21.21
24061997,163232,66825,326.46,50.92
24061998,179116,79266,340.04,52.71
24061999,84432,38266,164.17,24.29
24062000,78392,36904,159.67,22.96
24062001,149460,70699,284.75,41.08
24062002,74244,38443,129.25,19.62
24062003,89208,44287,174.17,22.66
24062004,20928,9471,44.25,6.71
24062005,137696,62305,273.04,38.71
24062006,160816,63168,289.87,49.54
24062007,109164,53924,222.5,29.54
24062008,88864,46669,158.29,22.83
24062009,111920,51747,213.29,29.71
24062010,124188,52637,226.42,34.13
24062011,104756,49671,203.96,28.37
24062012,25240,10565,48.67,7.83
24062013,229636,92386,432.92,67.0
24062014,135952,59738,275.42,38.08
24062015,48160,22054,189.21,15.25
24062016,242980,125720,492.92,67.67
24062017,65412,29752,131.21,19.04
24062018,97732,46814,198.0,27.25
24062019,74144,38214,133.13,20.13
24062020,142212,65279,297.25,39.92
24062021,90704,44230,181.08,23.83
24062022,126016,49923,232.67,38.5
24062023,182204,111107,383.71,44.46
24062024,80228,37089,156.33,98.79
24062025,74032,36308,129.75,20.79
24062026,153272,54421,279.25,65.87
24062027,96316,52880,188.54,27.75
24062028,59280,30801,126.37,17.79
24062029,105384,50216,214.71,30.46
24062030,104936,49720,184.83,32.87
24062031,92436,45232,183.17,25.04
24062032,12780,5919,29.79,4.83
24062033,163560,57755,289.0,62.04
24062034,29836,15225,65.17,8.92
24062035,105028,31277,139.96,37.92
24062036,178568,63716,332.75,57.12
24062037,110420,58343,241.21,64.42
24062038,24504,12877,55.96,7.79
24062039,174332,72573,345.08,60.29
24062040,11392,6204,28.0,4.04
24062041,118468,47437,214.21,35.75
24062042,163352,57726,285.79,51.13
24062043,124124,59024,252.38,72.75
24062044,216556,113914,467.0,55.12
24062045,68652,26617,114.46,19.88
24062046,103440,51797,216.17,28.38
24062047,76152,33514,152.79,23.38
24062048,166060,72127,405.75,54.0
24062049,61300,30756,131.5,17.46
24062050,122032,58484,353.21,37.33
24062051,210500,118504,421.0,53.75
24062052,98592,53201,201.83,72.83
24062053,106752,47622,216.75,30.04
24062054,110796,59036,297.67,33.17
24062055,138192,71513,307.29,38.58
24062056,84068,40184,176.58,22.63
24062057,98288,52683,211.33,24.83
24062058,103880,53260,178.04,27.5
24062059,75356,39040,151.08,19.83
24062060,152760,55407,265.08,48.46
24062061,79668,39644,155.46,21.17
24062062,91940,49272,199.96,22.87
24062063,131656,60813,268.92,35.54
24062064,97020,48275,196.08,26.0
24062065,68728,36253,124.66,18.25
24062066,24264,10732,49.92,8.5
24062067,181192,68598,322.71,55.54
24062068,218736,118149,437.38,54.96
24062069,100452,51149,208.63,26.5
24062070,104996,52486,225.04,30.08
24062071,81316,35834,160.87,24.67
24062072,129216,58863,255.46,34.79
24062073,59824,29906,127.25,16.5
24062074,110844,53283,221.08,30.75
24062075,134236,40229,194.79,45.25
24062076,158024,74878,279.08,42.38
24062077,153112,87360,290.21,38.88
24062078,106620,48392,180.46,29.04
24062079,42032,17457,82.33,12.08
24062080,126872,59601,250.75,34.13
24062081,88784,44031,173.79,23.21
24062082,71184,36112,139.62,18.96
24062083,150132,47773,220.75,49.58
24062084,21932,11121,47.79,6.62
24062085,211268,116390,485.0,60.62
24062086,57952,29037,115.21,18.08
24062087,99396,46984,204.25,30.42
24062088,148980,45291,238.54,50.83
24062089,58168,33580,114.41,16.38
24062090,89040,39228,171.21,27.54
24062091,116480,63581,226.63,30.54
24062092,76844,40221,162.38,20.79
24062093,154252,54885,275.29,52.12
24062094,53972,29809,122.12,16.12
24062095,99064,48210,203.79,29.04
24062096,203284,107857,417.08,55.37
24062097,54532,25629,112.04,17.04
24062098,143364,57422,272.17,43.29
24062099,85536,48601,167.38,22.17
24062100,145868,47392,220.13,48.54
24062101,16780,9248,42.21,5.75
24062102,234844,120550,466.38,63.46
24062103,14108,7111,33.37,5.42
24062104,179532,71445,315.38,56.29
24062105,115276,57521,245.67,31.62
24062106,69524,34211,142.0,19.88
24062107,106200,51021,217.92,30.75
24062108,81924,36534,155.58,23.75
24062109,160784,61387,274.75,51.96
24062110,70356,33924,139.38,21.0
24062111,110960,53531,228.21,31.17
24062112,215316,104154,417.54,58.16
24062113,112908,51282,222.63,31.29
24062114,103688,54365,195.75,27.62
24062115,70836,34004,140.67,20.21
24062116,85960,42293,174.13,24.25
24062117,196376,108577,415.75,52.71
24062118,108332,54054,230.71,29.87
24062119,133116,55127,261.5,40.5
24062120,102204,49986,204.79,28.0
24062121,141264,61168,274.38,39.79
24062122,85836,46859,147.83,21.58
24062123,99508,46287,190.46,27.71
24062124,101984,45877,190.62,28.29
24062125,80072,41270,159.46,21.21
24062126,106812,49655,211.67,29.71
24062127,71936,38431,145.96,18.92
24062128,56452,21023,95.0,18.54
24062129,210328,110897,397.0,55.04
24062130,13876,8355,26.04,4.54
24062131,190592,80532,355.09,53.67
24062132,77944,41669,157.33,20.04
24062133,78116,44611,142.71,19.21
24062134,111932,45638,201.04,31.42
24062135,18640,9032,41.21,6.04
24062136,212660,77402,366.92,64.96
24062137,191120,109801,386.42,48.29
24062138,164972,72878,318.33,45.21
24062139,101824,50694,209.83,27.25
24062140,78300,37603,148.79,20.75
24062141,130248,68215,276.42,32.83
24062142,67328,33826,137.38,18.54
24062143,52048,24061,100.12,15.33
24062144,189020,88921,341.04,51.54
24062145,138588,75191,251.92,36.67
24062146,143624,64487,246.17,39.71
24062147,92836,44384,179.79,24.5
24062148,90252,47861,164.79,23.12
24062149,104408,51064,208.12,27.92
24062150,123740,66184,212.46,30.38
24062151,175752,97621,335.21,45.25
24062152,93508,45893,181.29,24.17
24062153,114404,58515,200.83,30.62
24062154,103944,50096,202.75,27.33
24062155,117244,49710,212.92,32.25
24062156,101456,45138,189.38,28.38
24062157,113908,45754,197.46,32.37
24062158,107124,47626,196.42,29.12
24062159,103876,46004,189.42,28.58
24062160,97516,47173,189.87,26.58
24062161,194108,103008,368.87,49.62
24062162,117044,50646,211.25,31.88
24062163,77716,39666,163.54,21.41
24062164,141160,63943,291.42,38.88
24062165,138192,69443,300.79,36.92
24062166,106968,49568,210.04,35.83
24062167,118692,56702,245.0,33.04
24062168,122140,52131,235.08,36.25
24062169,149984,63456,303.21,43.38
24062170,102708,53625,194.58,27.75
24062171,77448,41656,144.58,19.96
24062172,193960,109158,402.0,52.17
24062173,154892,64660,308.12,45.38
24062174,169356,86042,337.04,45.42
24062175,89588,46944,166.29,24.0
24062176,113832,48242,218.37,32.75
24062177,130776,54657,265.04,38.54
24062178,87204,42260,180.46,38.21
24062179,108436,53992,227.92,29.0
24062180,163692,68586,313.75,47.08
24062181,91964,54259,178.92,22.13
24062182,94708,46527,186.25,25.87
24062183,179932,79346,344.42,51.08
24062184,70028,38475,160.42,18.33
24062185,80012,35660,152.96,22.21
24062186,128144,58907,215.66,34.62
24062187,116628,62955,211.79,28.96
24062188,23956,12944,54.37,7.04
24062189,114280,54734,224.46,30.46
24062190,192448,113429,404.46,47.67
24062191,85640,40329,160.58,22.5
24062192,104688,51761,211.63,27.71
24062193,125832,68968,234.96,31.5
24062194,17892,8963,41.0,5.71
24062195,150084,71054,323.58,41.62
24062196,106756,47333,205.62,31.42
24062197,20152,10107,46.46,6.54
24062198,246352,93116,448.46,75.04
24062199,149720,65931,319.29,43.38
24062200,11344,6431,22.88,4.13
24062201,233256,104083,432.42,68.96
24062202,10852,5943,28.92,4.16
24062203,167576,54588,279.71,54.75
24062204,205448,119864,415.12,52.17
24062205,118100,51158,242.83,34.79
24062206,73736,39846,138.33,19.62
24062207,21904,10497,49.96,7.21
24062208,184860,96250,376.21,53.08
24062209,131660,53331,243.96,37.29
24062210,125356,67473,238.17,31.83
24062211,186776,76840,408.83,62.88
24062212,78416,42343,175.29,22.04
24062213,43380,20128,91.92,13.25
24062214,189692,108145,424.46,54.0
24062215,9496,5162,26.62,4.25
24062216,133908,72684,280.96,37.54
24062217,89400,42604,188.21,25.79
24062218,176980,79457,393.29,76.29
24062219,75452,37858,164.0,22.63
24062220,114532,47233,211.29,34.33
24062221,7740,4410,23.33,3.88
24062222,224340,86287,414.58,69.62
24062223,84644,39378,166.08,24.04
24062224,71952,38354,152.46,20.13
24062225,204320,103203,385.17,56.42
24062226,120948,53735,232.96,34.17
24062227,31180,15586,68.29,9.42
24062228,24340,12978,56.54,7.42
24062229,163260,57074,291.25,56.08
24062230,126500,59789,267.21,37.46
24062231,208128,106919,414.75,58.33
24062232,83752,42706,181.13,22.92
24062233,130132,55926,269.13,38.04
24062234,68564,37146,134.25,19.5
24062235,101436,54879,198.17,27.71
24062236,67832,28972,126.04,20.88
24062237,143204,75635,290.96,38.88
24062238,97464,36995,174.58,32.63
24062239,157056,65531,311.88,46.5
24062240,201524,106377,374.42,52.04
24062241,99136,38251,167.79,28.46
24062242,61576,30961,126.5,17.25
24062243,106216,53534,219.54,28.63
24062244,92416,49110,166.04,23.29
24062245,84600,45376,150.08,21.42
24062246,107116,43457,185.54,30.5
24062247,7376,4009,20.66,3.12
24062248,180612,76641,338.33,51.5
24062249,78964,41599,159.25,20.83
24062250,118768,52151,190.04,32.79
24062251,146888,57281,236.13,43.08
24062252,90036,36038,154.79,26.42
24062253,60764,29165,120.38,17.42
24062254,200088,107004,376.08,51.92
24062255,14692,7400,32.71,4.88
24062256,101880,53212,213.96,26.67
24062257,115912,47891,184.25,34.04
24062258,77536,45448,148.96,18.96
24062259,104904,46926,202.12,31.96
24062260,143740,51516,226.67,46.5
24062261,53028,27977,113.54,15.62
24062262,64992,31650,130.75,18.71
24062263,21892,11356,49.13,6.83
24062264,106288,31940,141.13,36.46
24062265,148552,51918,229.92,48.17
24062266,204412,114235,392.25,52.5
24062267,85044,45313,150.17,21.54
24062268,70064,33290,135.79,20.21
24062269,76352,37395,129.41,20.88
24062270,106888,53243,219.13,28.87
24062271,76408,42759,160.87,19.25
24062272,131048,62045,257.21,36.63
24062273,53176,27194,109.29,14.88
24062274,129080,43093,183.54,41.37
24062275,100912,54520,219.46,26.33
24062276,73944,34245,138.62,20.96
24062277,96096,47402,168.79,27.25
24062278,121068,48096,208.08,34.33
24062279,64680,30306,128.58,17.88
24062280,126316,52109,228.5,36.75
24062281,90408,42583,172.21,24.04
24062282,201532,100422,368.25,53.29
24062283,99676,50898,204.29,26.17
24062284,55164,29387,117.33,15.25
24062285,99440,47460,193.08,27.79
24062286,92624,44270,181.08,24.21
24062287,129392,45712,184.71,40.58
24062288,90616,43899,178.5,24.29
24062289,82972,42957,144.17,21.66
24062290,116532,51505,221.54,32.62
24062291,72640,38624,131.96,18.83
24062292,96024,52057,165.0,23.54
24062293,150364,59625,279.21,45.96
24062294,83768,39897,159.21,22.75
24062295,18820,9757,42.54,6.0
24062296,220768,72421,328.79,73.13
24062297,175800,88264,331.17,45.83
24062298,14656,7519,32.67,4.83
24062299,209104,89677,394.83,59.75
24062300,74800,38728,149.79,25.25
24062301,206744,111955,392.63,52.87
24062302,79912,41228,159.12,20.46
24062303,106992,46952,200.21,30.71
24062304,69968,33302,132.83,18.96
24062305,156144,60054,280.46,45.67
24062306,83408,39034,156.71,22.79
24062307,173944,66733,305.5,53.04
24062308,172516,96295,329.29,44.83
