block_number,cache_size_bytes
24019602,3866116
24019603,2557688
24019604,4517008
24019605,2789718
24019606,2659203
24019607,2133291
24019608,6204575
24019609,8478318
24019610,2623958
24019611,1501600
24019612,5926592
24019613,8364631
24019614,7104131
24019615,444618
24019616,7553757
24019617,4150463
24019618,7091783
24019619,5716142
24019620,4656069
24019621,4452412
24019622,2669156
24019623,3786097
24019624,2764864
24019625,3848547
24019626,2352112
24019627,2831642
24019628,3873534
24019629,3381441
24019630,1916625
24019631,3230302
24019632,4806552
24019633,4125727
24019634,3291481
24019635,3564675
24019636,6541610
24019637,3055248
24019638,3978015
24019639,4012566
24019640,2726681
24019641,2883932
24019642,3784666
24019643,4650339
24019644,2930815
24019645,4332720
24019646,518775
24019647,4081496
24019648,7409985
24019649,4839471
24019650,1774225
24019651,5537438
24019652,3453169
24019653,4927109
24019654,5396191
24019655,7413590
24019656,5383098
24019657,4059675
24019658,3474524
24019659,4246737
24019660,2387916
24019661,2884546
24019662,4067617
24019663,4289983
24019664,3405032
24019665,3604670
24019666,3431592
24019667,3833609
24019668,2314024
24019669,2686967
24019670,3613223
24019671,4047847
24019672,4888422
24019673,3258559
24019674,1938269
24019675,3877037
24019676,3836531
24019677,5745164
24019678,2221504
24019679,3223182
24019680,4009089
24019681,2945004
24019682,3996924
24019683,3079819
24019684,4190233
24019685,3745024
24019686,3321145
24019687,4101898
24019688,2443184
24019689,3646897
24019690,2830270
24019691,2578495
24019692,4245062
24019693,3724172
24019694,2933940
24019695,3096511
24019696,4492196
24019697,1839518
24019698,3872908
24019699,3561036
24019700,3749297
24019701,3801021
24019702,2380330
24019703,3852582
24019704,5106357
24019705,4123508
24019706,3293595
24019707,3667699
24019708,2907044
24019709,2595401
24019710,2666893
24019711,4973071
24019712,424285
24019713,167129
24019714,4516538
24019715,5572969
24019716,2706738
24019717,5369484
24019718,3370652
24019719,2691087
24019720,4705005
24019721,2677297
24019722,3606339
24019723,3992980
24019724,3045494
24019725,3192575
24019726,5075324
24019727,4256688
24019728,3153007
24019729,4042976
24019730,2933037
24019731,4760942
24019732,2418351
24019733,2672649
24019734,2469019
24019735,5670043
24019736,3099600
24019737,3293049
24019738,3772372
24019739,2634746
24019740,3889078
24019741,3472893
24019742,2028728
24019743,4188859
24019744,3632709
24019745,4496239
24019746,3933830
