op_type,op_name,value_bytes,count
11,CREATE,285,4
11,CREATE,286,4
11,CREATE,287,3
11,CREATE,289,5
11,CREATE,290,4
11,CREATE,291,1
11,CREATE,292,23
11,CREATE,293,3
11,CREATE,295,5
11,CREATE,296,2
11,CREATE,297,1
11,CREATE,299,1
11,CREATE,300,2
11,CREATE,301,1
11,CREATE,303,6
11,CREATE,304,1
11,CREATE,305,5
11,CREATE,306,3
11,CREATE,307,5
11,CREATE,308,3
11,CREATE,309,1
11,CREATE,310,3
11,CREATE,312,1
11,CREATE,313,2
11,CREATE,315,3
11,CREATE,316,4
11,CREATE,317,1
11,CREATE,319,1
11,CREATE,320,4
11,CREATE,321,1
11,CREATE,322,2
11,CREATE,323,1
11,CREATE,324,5
11,CREATE,325,4
11,CREATE,326,1
11,CREATE,328,2
11,CREATE,329,10
11,CREATE,330,3
11,CREATE,331,1
11,CREATE,332,1
11,CREATE,333,2
11,CREATE,334,6
11,CREATE,335,1
11,CREATE,337,3
11,CREATE,339,1
11,CREATE,340,21
11,CREATE,342,4
11,CREATE,343,4
11,CREATE,344,1
11,CREATE,346,2
11,CREATE,347,3
11,CREATE,349,2
11,CREATE,350,2
11,CREATE,351,1
11,CREATE,352,1
11,CREATE,354,3
11,CREATE,356,1
11,CREATE,357,2
11,CREATE,358,5
11,CREATE,361,1
11,CREATE,362,1
11,CREATE,363,3
11,CREATE,364,1
11,CREATE,365,1
11,CREATE,367,1
11,CREATE,369,1
11,CREATE,370,3
11,CREATE,371,1
11,CREATE,373,2
11,CREATE,374,3
11,CREATE,375,1
11,CREATE,376,2
11,CREATE,378,1
11,CREATE,379,1
11,CREATE,380,2
11,CREATE,381,2
11,CREATE,382,1
11,CREATE,383,4
11,CREATE,384,2
11,CREATE,386,1
11,CREATE,387,2
11,CREATE,388,1
11,CREATE,389,3
11,CREATE,390,2
11,CREATE,391,4
11,CREATE,393,2
11,CREATE,394,2
11,CREATE,395,1
11,CREATE,397,1
11,CREATE,399,2
11,CREATE,400,4
11,CREATE,401,1
11,CREATE,402,1
11,CREATE,403,5
11,CREATE,404,4
11,CREATE,405,1
11,CREATE,407,1
11,CREATE,408,2
11,CREATE,409,1
11,CREATE,410,1
11,CREATE,411,2
11,CREATE,412,4
11,CREATE,413,1
11,CREATE,415,3
11,CREATE,416,1
11,CREATE,417,2
11,CREATE,418,1
11,CREATE,419,4
11,CREATE,420,2
11,CREATE,421,4
11,CREATE,422,2
11,CREATE,423,3
11,CREATE,425,3
11,CREATE,426,5
11,CREATE,427,3
11,CREATE,428,2
11,CREATE,429,1
11,CREATE,430,1
11,CREATE,431,1
11,CREATE,432,1
11,CREATE,434,2
11,CREATE,435,1
11,CREATE,437,2
11,CREATE,438,1
11,CREATE,439,3
11,CREATE,440,3
11,CREATE,441,1
11,CREATE,442,2
11,CREATE,443,2
11,CREATE,444,1
11,CREATE,445,4
11,CREATE,447,8
11,CREATE,448,2
11,CREATE,449,2
11,CREATE,450,1
11,CREATE,451,3
11,CREATE,453,3
11,CREATE,454,3
11,CREATE,455,1
11,CREATE,456,1
11,CREATE,458,3
11,CREATE,459,5
11,CREATE,460,2
11,CREATE,461,1
11,CREATE,462,4
11,CREATE,464,2
11,CREATE,465,2
11,CREATE,466,2
11,CREATE,467,1
11,CREATE,468,1
11,CREATE,469,1
11,CREATE,470,1
11,CREATE,472,4
11,CREATE,473,4
11,CREATE,474,2
11,CREATE,475,1
11,CREATE,476,1
11,CREATE,477,1
11,CREATE,478,1
11,CREATE,479,1
11,CREATE,480,1
11,CREATE,481,1
11,CREATE,482,2
11,CREATE,483,2
11,CREATE,484,1
11,CREATE,485,3
11,CREATE,486,1
11,CREATE,487,1
11,CREATE,488,3
11,CREATE,489,1
11,CREATE,490,1
11,CREATE,491,2
11,CREATE,493,4
11,CREATE,494,5
11,CREATE,495,1
11,CREATE,496,2
11,CREATE,497,5
11,CREATE,498,2
11,CREATE,499,5
11,CREATE,500,1
11,CREATE,501,2
11,CREATE,502,3
11,CREATE,503,1
11,CREATE,504,4
11,CREATE,505,2
11,CREATE,506,1
11,CREATE,507,5
11,CREATE,508,2
11,CREATE,509,2
11,CREATE,510,1
11,CREATE,512,2
11,CREATE,513,3
11,CREATE,514,2
11,CREATE,516,4
11,CREATE,518,259
11,CREATE,520,9
11,CREATE,521,4
11,CREATE,522,2
11,CREATE,524,1
11,CREATE,525,2
11,CREATE,526,3
11,CREATE,527,2
11,CREATE,528,1
11,CREATE,530,3
11,CREATE,531,1
11,CREATE,532,1
11,CREATE,533,4
11,CREATE,534,3
11,CREATE,535,2
11,CREATE,536,2
11,CREATE,537,3
11,CREATE,538,6
11,CREATE,539,2
11,CREATE,540,4
11,CREATE,541,1
11,CREATE,542,1
11,CREATE,543,1
11,CREATE,544,2
11,CREATE,545,1
11,CREATE,546,3
11,CREATE,547,2
11,CREATE,548,2
11,CREATE,549,1
11,CREATE,550,1
11,CREATE,552,1
11,CREATE,554,1
11,CREATE,556,2
11,CREATE,557,6
11,CREATE,558,1
11,CREATE,560,1
11,CREATE,561,2
11,CREATE,563,3
11,CREATE,564,2
11,CREATE,565,3
11,CREATE,566,4
11,CREATE,567,1
11,CREATE,568,1
11,CREATE,569,4
11,CREATE,571,4
11,CREATE,572,4
11,CREATE,573,4
11,CREATE,574,1
11,CREATE,575,1
11,CREATE,576,3
11,CREATE,577,4
11,CREATE,578,3
11,CREATE,579,2
11,CREATE,580,2
11,CREATE,581,3
11,CREATE,582,1
11,CREATE,586,1
11,CREATE,587,1
11,CREATE,588,1
11,CREATE,589,1
11,CREATE,590,3
11,CREATE,591,3
11,CREATE,592,4
11,CREATE,593,1
11,CREATE,594,2
11,CREATE,595,2
11,CREATE,596,2
11,CREATE,597,14
11,CREATE,598,102
11,CREATE,599,7
11,CREATE,600,1
11,CREATE,601,4
11,CREATE,602,3
11,CREATE,603,1
11,CREATE,604,3
11,CREATE,607,2
11,CREATE,609,2
11,CREATE,610,2
11,CREATE,611,2
11,CREATE,612,2
11,CREATE,613,4
11,CREATE,614,1
11,CREATE,615,5
11,CREATE,616,2
11,CREATE,617,2
11,CREATE,618,1
11,CREATE,619,1
11,CREATE,621,1
11,CREATE,622,1
11,CREATE,623,1
11,CREATE,625,1
11,CREATE,626,2
11,CREATE,627,3
11,CREATE,629,6
11,CREATE,630,2
11,CREATE,631,2
11,CREATE,632,1
11,CREATE,633,6
11,CREATE,634,1
11,CREATE,635,5
11,CREATE,636,6
11,CREATE,637,1
11,CREATE,638,5
11,CREATE,639,1
11,CREATE,640,2
11,CREATE,641,2
11,CREATE,642,1
11,CREATE,643,1
11,CREATE,644,2
11,CREATE,645,2
11,CREATE,646,4
11,CREATE,647,3
11,CREATE,648,6
11,CREATE,649,2
11,CREATE,650,1
11,CREATE,651,2
11,CREATE,652,1
11,CREATE,653,5
11,CREATE,654,3
11,CREATE,655,4
11,CREATE,656,1
11,CREATE,657,5
11,CREATE,658,4
11,CREATE,659,6
11,CREATE,660,2
11,CREATE,661,3
11,CREATE,662,3
11,CREATE,663,3
11,CREATE,664,5
11,CREATE,666,4
11,CREATE,667,5
11,CREATE,668,3
11,CREATE,669,3
11,CREATE,670,2
11,CREATE,671,1
11,CREATE,672,1
11,CREATE,673,2
11,CREATE,674,2
11,CREATE,675,2
11,CREATE,676,1
11,CREATE,677,2
11,CREATE,678,3
11,CREATE,679,2
11,CREATE,680,1
11,CREATE,681,1
11,CREATE,682,4
11,CREATE,684,1
11,CREATE,685,2
11,CREATE,686,5
11,CREATE,687,2
11,CREATE,688,3
11,CREATE,689,3
11,CREATE,690,3
11,CREATE,692,3
11,CREATE,693,1
11,CREATE,695,2
11,CREATE,696,1
11,CREATE,698,1
11,CREATE,700,4
11,CREATE,701,1
11,CREATE,702,1
11,CREATE,703,1
11,CREATE,704,1
11,CREATE,706,1
11,CREATE,707,2
11,CREATE,708,2
11,CREATE,709,2
11,CREATE,710,4
11,CREATE,711,1
11,CREATE,712,2
11,CREATE,714,4
11,CREATE,716,2
11,CREATE,717,1
11,CREATE,718,3
11,CREATE,719,2
11,CREATE,720,2
11,CREATE,721,3
11,CREATE,723,1
11,CREATE,724,3
11,CREATE,725,2
11,CREATE,726,1
11,CREATE,727,2
11,CREATE,730,1
11,CREATE,731,2
11,CREATE,732,2
11,CREATE,733,3
11,CREATE,734,1
11,CREATE,736,1
11,CREATE,738,4
11,CREATE,742,1
11,CREATE,743,2
11,CREATE,744,3
11,CREATE,746,3
11,CREATE,747,1
11,CREATE,749,1
11,CREATE,752,1
11,CREATE,753,3
11,CREATE,754,1
11,CREATE,756,1
11,CREATE,757,1
11,CREATE,758,1
11,CREATE,759,1
11,CREATE,760,2
11,CREATE,761,3
11,CREATE,762,3
11,CREATE,765,1
11,CREATE,766,3
11,CREATE,767,3
11,CREATE,769,1
11,CREATE,770,1
11,CREATE,771,1
11,CREATE,773,2
11,CREATE,774,1
11,CREATE,776,1
11,CREATE,778,1
11,CREATE,779,2
11,CREATE,780,2
11,CREATE,781,1
11,CREATE,782,2
11,CREATE,783,1
11,CREATE,784,1
11,CREATE,785,3
11,CREATE,787,2
11,CREATE,788,2
11,CREATE,789,6
11,CREATE,790,2
11,CREATE,791,1
11,CREATE,793,1
11,CREATE,794,1
11,CREATE,796,1
11,CREATE,798,1
11,CREATE,801,1
11,CREATE,802,1
11,CREATE,803,4
11,CREATE,805,1
11,CREATE,806,1
11,CREATE,808,3
11,CREATE,809,2
11,CREATE,811,1
11,CREATE,812,2
11,CREATE,814,3
11,CREATE,816,2
11,CREATE,817,1
11,CREATE,818,1
11,CREATE,819,6
11,CREATE,820,1
11,CREATE,822,2
11,CREATE,823,1
11,CREATE,824,1
11,CREATE,825,2
11,CREATE,826,1
11,CREATE,827,4
11,CREATE,829,1
11,CREATE,830,1
11,CREATE,832,3
11,CREATE,833,1
11,CREATE,834,2
11,CREATE,835,2
11,CREATE,838,1
11,CREATE,839,683
11,CREATE,840,1
11,CREATE,842,1
11,CREATE,843,1
11,CREATE,849,3
11,CREATE,851,1
11,CREATE,854,1
11,CREATE,855,1
11,CREATE,857,1
11,CREATE,858,1
11,CREATE,859,2
11,CREATE,862,90
11,CREATE,865,1
11,CREATE,866,1
11,CREATE,868,1
11,CREATE,869,1
11,CREATE,871,3
11,CREATE,872,1
11,CREATE,873,3
11,CREATE,874,1
11,CREATE,875,4
11,CREATE,876,4
11,CREATE,877,1
11,CREATE,879,1
11,CREATE,880,1
11,CREATE,881,1
11,CREATE,884,1
11,CREATE,885,2
11,CREATE,886,7
11,CREATE,887,12
11,CREATE,889,2
11,CREATE,891,3
11,CREATE,892,27
11,CREATE,894,1
11,CREATE,898,7
11,CREATE,899,1
11,CREATE,900,1
11,CREATE,901,1
11,CREATE,903,1
11,CREATE,904,3
11,CREATE,907,1
11,CREATE,908,4
11,CREATE,911,1
11,CREATE,912,5
11,CREATE,913,1
11,CREATE,914,1
11,CREATE,917,1
11,CREATE,920,1
11,CREATE,922,1
11,CREATE,925,7
11,CREATE,926,1
11,CREATE,931,1
11,CREATE,932,3
11,CREATE,933,1
11,CREATE,934,1
11,CREATE,936,2
11,CREATE,937,1
11,CREATE,938,1
11,CREATE,940,2
11,CREATE,942,1
11,CREATE,946,3
11,CREATE,947,1
11,CREATE,950,1
11,CREATE,951,1
11,CREATE,953,1
11,CREATE,954,1
11,CREATE,955,4
11,CREATE,956,1
11,CREATE,960,1
11,CREATE,964,2
11,CREATE,967,2
11,CREATE,968,1
11,CREATE,969,15
11,CREATE,972,5
11,CREATE,975,1
11,CREATE,977,2
11,CREATE,981,2
11,CREATE,982,1
11,CREATE,983,2
11,CREATE,984,2
11,CREATE,985,1
11,CREATE,986,1
11,CREATE,991,2
11,CREATE,996,2
11,CREATE,1002,1
11,CREATE,1004,2
11,CREATE,1005,3
11,CREATE,1007,1
11,CREATE,1008,1
11,CREATE,1009,1
11,CREATE,1012,1
11,CREATE,1013,1
11,CREATE,1015,3
11,CREATE,1016,6
11,CREATE,1022,6
11,CREATE,1023,1
11,CREATE,1025,1
11,CREATE,1028,1
11,CREATE,1029,2
11,CREATE,1030,1
11,CREATE,1031,1
11,CREATE,1033,1
11,CREATE,1034,2
11,CREATE,1036,2
11,CREATE,1038,1
11,CREATE,1039,2
11,CREATE,1041,1
11,CREATE,1042,3
11,CREATE,1044,1
11,CREATE,1045,1
11,CREATE,1047,1
11,CREATE,1048,1
11,CREATE,1051,1
11,CREATE,1054,1
11,CREATE,1055,1
11,CREATE,1056,2
11,CREATE,1057,2
11,CREATE,1058,1
11,CREATE,1060,1
11,CREATE,1062,1
11,CREATE,1063,1
11,CREATE,1064,1
11,CREATE,1066,8
11,CREATE,1067,1
11,CREATE,1071,1
11,CREATE,1073,2
11,CREATE,1074,1
11,CREATE,1076,1
