block_number,execution_time_us,rss_bytes
24019973,508860,8115339264
24019974,517624,8126742528
24019975,383486,8135786496
24019976,445607,8145600512
24019977,188220,8149745664
24019978,371790,8157544448
24019979,145653,8160346112
24019980,160753,8162918400
24019981,383503,8171077632
24019982,563981,8184397824
24019983,284322,8190738432
24019984,436780,8199356416
24019985,236297,8204795904
24019986,315056,8211529728
24019987,260568,8217657344
24019988,406579,8227110912
24019989,409523,8237268992
24019990,313225,8244133888
24019991,173373,8248360960
24019992,79514,8250130432
24019993,655946,8265793536
24019994,360385,8273739776
24019995,241332,8278851584
24019996,110882,8281407488
24019997,243599,8287191040
24019998,209254,8291893248
24019999,706451,8309178368
24020000,272356,8314814464
24020001,226036,8319516672
24020002,302920,8325939200
24020003,342878,8333213696
24020004,290075,8339718144
24020005,282017,8345157632
24020006,270375,8351350784
24020007,328103,8359084032
24020008,249159,8363900928
24020009,260413,8369881088
24020010,388286,8379367424
24020011,331105,8386134016
24020012,392770,8395259904
24020013,215920,8399519744
24020014,257404,8405958656
24020015,423613,8415395840
24020016,411476,8423374848
24020017,388237,8432992256
24020018,413460,8441610240
24020019,115832,8443396096
24020020,510130,8455127040
24020021,315026,8462188544
24020022,293028,8468086784
24020023,304654,8474263552
24020024,469796,8485634048
24020025,204656,8490106880
24020026,219192,8495251456
24020027,236530,8501116928
24020028,200471,8505344000
24020029,705983,8523218944
24020030,262157,8528707584
24020031,242501,8534147072
24020032,378365,8542830592
24020033,396821,8553381888
24020034,389875,8563113984
24020035,340776,8570781696
24020036,252749,8577056768
24020037,237674,8581971968
24020038,625780,8598634496
24020039,311549,8605810688
24020040,398262,8616853504
24020041,323444,8624816128
24020042,361895,8632926208
24020043,95679,8635039744
24020044,443273,8645771264
24020045,907327,8669888512
24020046,217101,8674787328
24020047,221337,8679407616
24020048,83022,8680636416
24020049,454933,8690892800
24020050,768476,8709668864
24020051,311234,8716828672
24020052,421711,8725856256
24020053,601235,8741289984
24020054,210088,8745467904
24020055,303920,8752676864
24020056,271060,8759033856
24020057,508188,8770846720
24020058,315104,8777908224
24020059,373745,8786739200
24020060,263441,8792981504
24020061,598322,8806924288
24020062,291899,8814329856
24020063,459651,8824602624
24020064,268525,8830517248
24020065,446762,8840445952
24020066,103394,8842280960
24020067,779522,8862515200
24020068,175061,8867250176
24020069,226215,8871559168
24020070,550766,8884551680
24020071,584516,8898494464
24020072,310163,8904916992
24020073,63190,8906162176
24020074,239999,8910864384
24020075,656921,8925872128
24020076,264915,8932786176
24020077,393479,8942125056
24020078,145959,8945369088
24020079,567737,8958640128
24020080,476844,8970108928
24020081,337245,8977858560
24020082,49754,8978890752
24020083,580022,8992522240
24020084,174762,8995405824
24020085,178302,8998584320
24020086,737477,9016770560
24020087,620643,9031647232
24020088,237720,9037398016
24020089,322701,9044017152
24020090,597753,9059713024
24020091,341812,9068199936
24020092,377367,9077112832
24020093,399580,9086894080
24020094,431092,9098084352
24020095,607228,9113419776
24020096,244706,9119449088
24020097,302435,9127133184
24020098,395717,9136947200
24020099,242992,9141862400
24020100,445731,9152430080
24020101,601138,9168519168
24020102,459859,9179201536
24020103,324692,9186787328
24020104,296959,9193553920
24020105,326521,9200664576
24020106,606568,9217032192
24020107,387835,9225355264
24020108,347739,9232891904
24020109,564748,9246113792
24020110,198292,9250865152
24020111,194608,9255665664
24020112,383162,9263824896
24020113,864130,9285730304
24020114,388180,9293119488
