block_number,raw_size_bytes,compressed_size_bytes,file_size_bytes
24019997,89336,40330,40358
24019998,92663,45478,45506
24019999,169634,81071,81099
24020000,108358,53417,53445
24020001,87103,40755,40783
24020002,149815,66217,66245
24020003,153505,69619,69647
24020004,96867,44804,44832
24020005,143516,66496,66524
24020006,97421,47989,48017
24020007,144759,64704,64732
24020008,88374,41290,41318
24020009,119594,54971,54999
24020010,223213,113149,113177
24020011,123179,53964,53992
24020012,168963,88164,88192
24020013,77724,39176,39204
24020014,127692,53347,53375
24020015,134232,58112,58140
24020016,196394,85942,85970
24020017,180782,93151,93179
24020018,152965,68310,68338
24020019,68522,27984,28012
24020020,140622,66989,67017
24020021,151551,69950,69978
24020022,110773,55129,55157
24020023,118360,53164,53192
24020024,145707,66494,66522
24020025,80359,37975,38003
24020026,84504,43014,43042
24020027,51764,26180,26208
24020028,60804,29528,29556
24020029,258462,115104,115132
24020030,109898,46871,46899
24020031,97416,43281,43309
24020032,176177,78106,78134
24020033,115783,52837,52865
24020034,113419,51628,51656
24020035,168459,94030,94058
24020036,75438,35426,35454
24020037,197677,102932,102960
24020038,314173,100590,100618
24020039,175465,98719,98747
24020040,83696,43358,43386
24020041,110595,58116,58144
24020042,106354,53087,53115
24020043,29424,14320,14348
24020044,51389,26716,26744
24020045,230336,109404,109432
24020046,80463,33627,33655
24020047,75377,34742,34770
24020048,32615,15165,15193
24020049,150905,67385,67413
24020050,275093,118296,118324
24020051,92086,45166,45194
24020052,152259,71955,71983
24020053,194618,99893,99921
24020054,89571,40450,40478
24020055,79413,39285,39313
24020056,103991,45605,45633
24020057,173827,75348,75376
24020058,115266,54144,54172
24020059,142519,79459,79487
24020060,86693,40860,40888
24020061,175830,82895,82923
24020062,171557,95050,95078
24020063,139432,65547,65575
24020064,102941,46418,46446
24020065,130646,61073,61101
24020066,23040,11227,11255
24020067,257738,112024,112052
24020068,75787,32771,32799
24020069,104321,45151,45179
24020070,180355,81882,81910
24020071,197398,97685,97713
24020072,109365,48861,48889
24020073,18835,9797,9825
24020074,77648,35828,35856
24020075,209318,95947,95975
24020076,76364,37841,37869
24020077,132972,63161,63189
24020078,27588,14800,14828
24020079,174408,77776,77804
24020080,187986,87114,87142
24020081,129303,55142,55170
